AnnoA;GruppoNOME;SESSO;Imm;note
2019/2020;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;6344;
2019/2020;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;997;
2019/2020;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;5593;
2019/2020;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4351;
2019/2020;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;31152;
2019/2020;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;9759;
2019/2020;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4460;
2019/2020;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3614;
2019/2020;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;8895;
2019/2020;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;22489;
2019/2020;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;8007;
2019/2020;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;3016;
2018/2019;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1160;
2018/2019;Educazione e Formazione                                                                                                                                                                                                                                   ;F;13374;
2018/2019;Arte e Design                                                                                                                                                                                                                                             ;M;3228;
2018/2019;Arte e Design                                                                                                                                                                                                                                             ;F;7211;
2018/2019;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4693;
2018/2019;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;8112;
2018/2019;Linguistico                                                                                                                                                                                                                                               ;M;3698;
2018/2019;Linguistico                                                                                                                                                                                                                                               ;F;17168;
2018/2019;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10178;
2018/2019;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;15222;
2018/2019;Psicologico                                                                                                                                                                                                                                               ;M;1792;
2018/2019;Psicologico                                                                                                                                                                                                                                               ;F;6611;
2018/2019;Economico                                                                                                                                                                                                                                                 ;M;25315;
2018/2019;Economico                                                                                                                                                                                                                                                 ;F;20582;
2018/2019;Giuridico                                                                                                                                                                                                                                                 ;M;7798;
2018/2019;Giuridico                                                                                                                                                                                                                                                 ;F;12745;
2018/2019;Scientifico                                                                                                                                                                                                                                               ;M;14490;
2018/2019;Scientifico                                                                                                                                                                                                                                               ;F;21038;
2018/2019;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;6047;
2018/2019;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;848;
2018/2019;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;5335;
2018/2019;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4156;
2018/2019;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;29734;
2018/2019;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;8957;
2018/2019;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4574;
2018/2019;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3812;
2018/2019;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;8325;
2018/2019;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;21578;
2018/2019;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;6816;
2018/2019;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;2671;
2017/2018;Educazione e Formazione                                                                                                                                                                                                                                   ;M;978;
2017/2018;Educazione e Formazione                                                                                                                                                                                                                                   ;F;12856;
2017/2018;Arte e Design                                                                                                                                                                                                                                             ;M;3163;
2017/2018;Arte e Design                                                                                                                                                                                                                                             ;F;7359;
2017/2018;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4605;
2017/2018;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;7804;
2017/2018;Linguistico                                                                                                                                                                                                                                               ;M;3853;
2017/2018;Linguistico                                                                                                                                                                                                                                               ;F;17435;
