_id,AnnoA,SedeR,ResidenzaR,GruppoNOME,Isc
4471,2011/2012,EMILIA ROMAGNA,Provincia autonoma di TRENTO,Psicologico,9
4472,2011/2012,EMILIA ROMAGNA,Provincia autonoma di TRENTO,Scientifico,144
4473,2011/2012,EMILIA ROMAGNA,Provincia autonoma di TRENTO,Scienze motorie e sportive,14
4474,2011/2012,EMILIA ROMAGNA,PUGLIA,Agrario-Forestale e Veterinario,244
4475,2011/2012,EMILIA ROMAGNA,PUGLIA,Architettura e Ingegneria civile,378
4476,2011/2012,EMILIA ROMAGNA,PUGLIA,Arte e Design,253
4477,2011/2012,EMILIA ROMAGNA,PUGLIA,Economico,1188
4478,2011/2012,EMILIA ROMAGNA,PUGLIA,Educazione e Formazione,264
4479,2011/2012,EMILIA ROMAGNA,PUGLIA,Giuridico,862
4480,2011/2012,EMILIA ROMAGNA,PUGLIA,Informatica e Tecnologie ICT,134
4481,2011/2012,EMILIA ROMAGNA,PUGLIA,Ingegneria industriale e dell'informazione,715
4482,2011/2012,EMILIA ROMAGNA,PUGLIA,Letterario-Umanistico,304
4483,2011/2012,EMILIA ROMAGNA,PUGLIA,Linguistico,274
4484,2011/2012,EMILIA ROMAGNA,PUGLIA,Medico-Sanitario e Farmaceutico,2053
4485,2011/2012,EMILIA ROMAGNA,PUGLIA,Politico-Sociale e Comunicazione,537
4486,2011/2012,EMILIA ROMAGNA,PUGLIA,Psicologico,164
4487,2011/2012,EMILIA ROMAGNA,PUGLIA,Scientifico,938
4488,2011/2012,EMILIA ROMAGNA,PUGLIA,Scienze motorie e sportive,73
4489,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Agrario-Forestale e Veterinario,142
4490,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Architettura e Ingegneria civile,101
4491,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Arte e Design,194
4492,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Economico,600
4493,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Educazione e Formazione,61
4494,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Giuridico,123
4495,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Informatica e Tecnologie ICT,38
4496,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Ingegneria industriale e dell'informazione,180
4497,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Letterario-Umanistico,128
4498,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Linguistico,145
4499,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Medico-Sanitario e Farmaceutico,487
4500,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Politico-Sociale e Comunicazione,268
4501,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Psicologico,71
4502,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Scientifico,224
4503,2011/2012,EMILIA ROMAGNA,REGIONE ESTERA,Scienze motorie e sportive,15
4504,2011/2012,EMILIA ROMAGNA,SARDEGNA,Agrario-Forestale e Veterinario,44
4505,2011/2012,EMILIA ROMAGNA,SARDEGNA,Architettura e Ingegneria civile,50
4506,2011/2012,EMILIA ROMAGNA,SARDEGNA,Arte e Design,112
4507,2011/2012,EMILIA ROMAGNA,SARDEGNA,Economico,124
4508,2011/2012,EMILIA ROMAGNA,SARDEGNA,Educazione e Formazione,45
4509,2011/2012,EMILIA ROMAGNA,SARDEGNA,Giuridico,94
4510,2011/2012,EMILIA ROMAGNA,SARDEGNA,Informatica e Tecnologie ICT,14
4511,2011/2012,EMILIA ROMAGNA,SARDEGNA,Ingegneria industriale e dell'informazione,83
4512,2011/2012,EMILIA ROMAGNA,SARDEGNA,Letterario-Umanistico,90
4513,2011/2012,EMILIA ROMAGNA,SARDEGNA,Linguistico,84
4514,2011/2012,EMILIA ROMAGNA,SARDEGNA,Medico-Sanitario e Farmaceutico,74
4515,2011/2012,EMILIA ROMAGNA,SARDEGNA,Politico-Sociale e Comunicazione,183
4516,2011/2012,EMILIA ROMAGNA,SARDEGNA,Psicologico,31
4517,2011/2012,EMILIA ROMAGNA,SARDEGNA,Scientifico,103
4518,2011/2012,EMILIA ROMAGNA,SARDEGNA,Scienze motorie e sportive,13
4519,2011/2012,EMILIA ROMAGNA,SICILIA,Agrario-Forestale e Veterinario,201
4520,2011/2012,EMILIA ROMAGNA,SICILIA,Architettura e Ingegneria civile,154
4521,2011/2012,EMILIA ROMAGNA,SICILIA,Arte e Design,319
4522,2011/2012,EMILIA ROMAGNA,SICILIA,Economico,666
4523,2011/2012,EMILIA ROMAGNA,SICILIA,Educazione e Formazione,192
4524,2011/2012,EMILIA ROMAGNA,SICILIA,Giuridico,636
4525,2011/2012,EMILIA ROMAGNA,SICILIA,Informatica e Tecnologie ICT,40
4526,2011/2012,EMILIA ROMAGNA,SICILIA,Ingegneria industriale e dell'informazione,296
4527,2011/2012,EMILIA ROMAGNA,SICILIA,Letterario-Umanistico,312
4528,2011/2012,EMILIA ROMAGNA,SICILIA,Linguistico,222
4529,2011/2012,EMILIA ROMAGNA,SICILIA,Medico-Sanitario e Farmaceutico,945
4530,2011/2012,EMILIA ROMAGNA,SICILIA,Politico-Sociale e Comunicazione,376
4531,2011/2012,EMILIA ROMAGNA,SICILIA,Psicologico,84
4532,2011/2012,EMILIA ROMAGNA,SICILIA,Scientifico,587
4533,2011/2012,EMILIA ROMAGNA,SICILIA,Scienze motorie e sportive,61
4534,2011/2012,EMILIA ROMAGNA,TOSCANA,Agrario-Forestale e Veterinario,123
4535,2011/2012,EMILIA ROMAGNA,TOSCANA,Architettura e Ingegneria civile,170
4536,2011/2012,EMILIA ROMAGNA,TOSCANA,Arte e Design,254
4537,2011/2012,EMILIA ROMAGNA,TOSCANA,Economico,268
4538,2011/2012,EMILIA ROMAGNA,TOSCANA,Educazione e Formazione,88
4539,2011/2012,EMILIA ROMAGNA,TOSCANA,Giuridico,221
4540,2011/2012,EMILIA ROMAGNA,TOSCANA,Informatica e Tecnologie ICT,20
4541,2011/2012,EMILIA ROMAGNA,TOSCANA,Ingegneria industriale e dell'informazione,241
4542,2011/2012,EMILIA ROMAGNA,TOSCANA,Letterario-Umanistico,220
4543,2011/2012,EMILIA ROMAGNA,TOSCANA,Linguistico,283
4544,2011/2012,EMILIA ROMAGNA,TOSCANA,Medico-Sanitario e Farmaceutico,269
4545,2011/2012,EMILIA ROMAGNA,TOSCANA,Politico-Sociale e Comunicazione,286
4546,2011/2012,EMILIA ROMAGNA,TOSCANA,Psicologico,153
4547,2011/2012,EMILIA ROMAGNA,TOSCANA,Scientifico,209
4548,2011/2012,EMILIA ROMAGNA,TOSCANA,Scienze motorie e sportive,27
4549,2011/2012,EMILIA ROMAGNA,UMBRIA,Agrario-Forestale e Veterinario,10
4550,2011/2012,EMILIA ROMAGNA,UMBRIA,Architettura e Ingegneria civile,53
4551,2011/2012,EMILIA ROMAGNA,UMBRIA,Arte e Design,38
4552,2011/2012,EMILIA ROMAGNA,UMBRIA,Economico,49
4553,2011/2012,EMILIA ROMAGNA,UMBRIA,Educazione e Formazione,5
4554,2011/2012,EMILIA ROMAGNA,UMBRIA,Giuridico,29
4555,2011/2012,EMILIA ROMAGNA,UMBRIA,Informatica e Tecnologie ICT,5
4556,2011/2012,EMILIA ROMAGNA,UMBRIA,Ingegneria industriale e dell'informazione,68
4557,2011/2012,EMILIA ROMAGNA,UMBRIA,Letterario-Umanistico,32
4558,2011/2012,EMILIA ROMAGNA,UMBRIA,Linguistico,30
4559,2011/2012,EMILIA ROMAGNA,UMBRIA,Medico-Sanitario e Farmaceutico,24
4560,2011/2012,EMILIA ROMAGNA,UMBRIA,Politico-Sociale e Comunicazione,70
4561,2011/2012,EMILIA ROMAGNA,UMBRIA,Psicologico,41
4562,2011/2012,EMILIA ROMAGNA,UMBRIA,Scientifico,50
4563,2011/2012,EMILIA ROMAGNA,VALLE D'AOSTA,Arte e Design,8
4564,2011/2012,EMILIA ROMAGNA,VALLE D'AOSTA,Giuridico,9
4565,2011/2012,EMILIA ROMAGNA,VALLE D'AOSTA,Letterario-Umanistico,10
4566,2011/2012,EMILIA ROMAGNA,VALLE D'AOSTA,Scientifico,11
4567,2011/2012,EMILIA ROMAGNA,VENETO,Agrario-Forestale e Veterinario,350
4568,2011/2012,EMILIA ROMAGNA,VENETO,Architettura e Ingegneria civile,513
4569,2011/2012,EMILIA ROMAGNA,VENETO,Arte e Design,349
4570,2011/2012,EMILIA ROMAGNA,VENETO,Economico,1240
4571,2011/2012,EMILIA ROMAGNA,VENETO,Educazione e Formazione,279
4572,2011/2012,EMILIA ROMAGNA,VENETO,Giuridico,1784
4573,2011/2012,EMILIA ROMAGNA,VENETO,Informatica e Tecnologie ICT,104
4574,2011/2012,EMILIA ROMAGNA,VENETO,Ingegneria industriale e dell'informazione,618
4575,2011/2012,EMILIA ROMAGNA,VENETO,Letterario-Umanistico,384
4576,2011/2012,EMILIA ROMAGNA,VENETO,Linguistico,270
4577,2011/2012,EMILIA ROMAGNA,VENETO,Medico-Sanitario e Farmaceutico,2002
4578,2011/2012,EMILIA ROMAGNA,VENETO,Politico-Sociale e Comunicazione,685
4579,2011/2012,EMILIA ROMAGNA,VENETO,Psicologico,68
4580,2011/2012,EMILIA ROMAGNA,VENETO,Scientifico,937
4581,2011/2012,EMILIA ROMAGNA,VENETO,Scienze motorie e sportive,236
4582,2011/2012,FRIULI VENEZIA GIULIA,ABRUZZO,Ingegneria industriale e dell'informazione,5
4583,2011/2012,FRIULI VENEZIA GIULIA,ABRUZZO,Linguistico,15
4584,2011/2012,FRIULI VENEZIA GIULIA,ABRUZZO,Politico-Sociale e Comunicazione,6
4585,2011/2012,FRIULI VENEZIA GIULIA,ABRUZZO,Scientifico,5
4586,2011/2012,FRIULI VENEZIA GIULIA,BASILICATA,Giuridico,8
4587,2011/2012,FRIULI VENEZIA GIULIA,BASILICATA,Linguistico,8
4588,2011/2012,FRIULI VENEZIA GIULIA,BASILICATA,Scientifico,5
4589,2011/2012,FRIULI VENEZIA GIULIA,CALABRIA,Economico,5
4590,2011/2012,FRIULI VENEZIA GIULIA,CALABRIA,Giuridico,6
4591,2011/2012,FRIULI VENEZIA GIULIA,CALABRIA,Ingegneria industriale e dell'informazione,13
4592,2011/2012,FRIULI VENEZIA GIULIA,CALABRIA,Linguistico,8
4593,2011/2012,FRIULI VENEZIA GIULIA,CALABRIA,Medico-Sanitario e Farmaceutico,6
4594,2011/2012,FRIULI VENEZIA GIULIA,CALABRIA,Politico-Sociale e Comunicazione,6
4595,2011/2012,FRIULI VENEZIA GIULIA,CALABRIA,Scientifico,12
4596,2011/2012,FRIULI VENEZIA GIULIA,CAMPANIA,Agrario-Forestale e Veterinario,7
4597,2011/2012,FRIULI VENEZIA GIULIA,CAMPANIA,Architettura e Ingegneria civile,5
4598,2011/2012,FRIULI VENEZIA GIULIA,CAMPANIA,Economico,13
4599,2011/2012,FRIULI VENEZIA GIULIA,CAMPANIA,Giuridico,8
4600,2011/2012,FRIULI VENEZIA GIULIA,CAMPANIA,Ingegneria industriale e dell'informazione,6
4601,2011/2012,FRIULI VENEZIA GIULIA,CAMPANIA,Linguistico,24
4602,2011/2012,FRIULI VENEZIA GIULIA,CAMPANIA,Medico-Sanitario e Farmaceutico,17
4603,2011/2012,FRIULI VENEZIA GIULIA,CAMPANIA,Politico-Sociale e Comunicazione,20
4604,2011/2012,FRIULI VENEZIA GIULIA,CAMPANIA,Scientifico,23
4605,2011/2012,FRIULI VENEZIA GIULIA,EMILIA ROMAGNA,Architettura e Ingegneria civile,5
4606,2011/2012,FRIULI VENEZIA GIULIA,EMILIA ROMAGNA,Economico,12
4607,2011/2012,FRIULI VENEZIA GIULIA,EMILIA ROMAGNA,Ingegneria industriale e dell'informazione,18
4608,2011/2012,FRIULI VENEZIA GIULIA,EMILIA ROMAGNA,Linguistico,48
4609,2011/2012,FRIULI VENEZIA GIULIA,EMILIA ROMAGNA,Medico-Sanitario e Farmaceutico,10
4610,2011/2012,FRIULI VENEZIA GIULIA,EMILIA ROMAGNA,Politico-Sociale e Comunicazione,15
