_id,AnnoA,ClasseNUMERO,ClasseNOME,SESSO,Isc
1004,2019/2020,LM-21,Ingegneria biomedica,M,1954
1005,2019/2020,LM-22,Ingegneria chimica,F,1169
1006,2019/2020,LM-22,Ingegneria chimica,M,1497
1007,2019/2020,LM-23,Ingegneria civile,F,2322
1008,2019/2020,LM-23,Ingegneria civile,M,5804
1009,2019/2020,LM-24,Ingegneria dei sistemi edilizi,F,1191
1010,2019/2020,LM-24,Ingegneria dei sistemi edilizi,M,1463
1011,2019/2020,LM-25,Ingegneria dell'automazione,F,412
1012,2019/2020,LM-25,Ingegneria dell'automazione,M,2312
1013,2019/2020,LM-26,Ingegneria della sicurezza,F,390
1014,2019/2020,LM-26,Ingegneria della sicurezza,M,1605
1015,2019/2020,LM-27,Ingegneria delle telecomunicazioni,F,580
1016,2019/2020,LM-27,Ingegneria delle telecomunicazioni,M,1623
1017,2019/2020,LM-28,Ingegneria elettrica,F,290
1018,2019/2020,LM-28,Ingegneria elettrica,M,1694
1019,2019/2020,LM-29,Ingegneria elettronica,F,572
1020,2019/2020,LM-29,Ingegneria elettronica,M,2882
1021,2019/2020,LM-30,Ingegneria energetica e nucleare,F,726
1022,2019/2020,LM-30,Ingegneria energetica e nucleare,M,2651
1023,2019/2020,LM-31,Ingegneria gestionale,F,3858
1024,2019/2020,LM-31,Ingegneria gestionale,M,6424
1025,2019/2020,LM-32,Ingegneria informatica,F,1343
1026,2019/2020,LM-32,Ingegneria informatica,M,7494
1027,2019/2020,LM-33,Ingegneria meccanica,F,1434
1028,2019/2020,LM-33,Ingegneria meccanica,M,10914
1029,2019/2020,LM-34,Ingegneria navale,F,85
1030,2019/2020,LM-34,Ingegneria navale,M,317
1031,2019/2020,LM-35,Ingegneria per l'ambiente e il territorio,F,1283
1032,2019/2020,LM-35,Ingegneria per l'ambiente e il territorio,M,1795
1033,2019/2020,LM-36,Lingue e letterature dell'Africa e dell'Asia,F,780
1034,2019/2020,LM-36,Lingue e letterature dell'Africa e dell'Asia,M,209
1035,2019/2020,LM-37,Lingue e letterature moderne europee e americane,F,7356
1036,2019/2020,LM-37,Lingue e letterature moderne europee e americane,M,1250
1037,2019/2020,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,F,6261
1038,2019/2020,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,M,976
1039,2019/2020,LM-39,Linguistica,F,1879
1040,2019/2020,LM-39,Linguistica,M,421
1041,2019/2020,LM-40,Matematica,F,1598
1042,2019/2020,LM-40,Matematica,M,1618
1043,2019/2020,LM-41,Medicina e chirurgia,F,45085
1044,2019/2020,LM-41,Medicina e chirurgia,M,34449
1045,2019/2020,LM-42,Medicina veterinaria,F,3528
1046,2019/2020,LM-42,Medicina veterinaria,M,1393
1047,2019/2020,LM-43,Metodologie informatiche per le discipline umanistiche,F,229
1048,2019/2020,LM-43,Metodologie informatiche per le discipline umanistiche,M,109
1049,2019/2020,LM-44,Modellistica matematico-fisica per l'ingegneria,F,359
1050,2019/2020,LM-44,Modellistica matematico-fisica per l'ingegneria,M,930
1051,2019/2020,LM-45,Musicologia e beni musicali,F,346
1052,2019/2020,LM-45,Musicologia e beni musicali,M,238
1053,2019/2020,LM-46,Odontoiatria e protesi dentaria,F,3165
1054,2019/2020,LM-46,Odontoiatria e protesi dentaria,M,3241
1055,2019/2020,LM-47,Organizzazione e gestione dei servizi per lo sport e le attivit motorie,F,974
1056,2019/2020,LM-47,Organizzazione e gestione dei servizi per lo sport e le attivit motorie,M,2263
1057,2019/2020,LM-48,Pianificazione territoriale urbanistica e ambientale,F,370
1058,2019/2020,LM-48,Pianificazione territoriale urbanistica e ambientale,M,308
1059,2019/2020,LM-49,Progettazione e gestione dei sistemi turistici,F,1391
1060,2019/2020,LM-49,Progettazione e gestione dei sistemi turistici,M,390
1061,2019/2020,LM-50,Programmazione e gestione dei servizi educativi,F,2344
1062,2019/2020,LM-50,Programmazione e gestione dei servizi educativi,M,194
1063,2019/2020,LM-51,Psicologia,F,17969
1064,2019/2020,LM-51,Psicologia,M,4517
1065,2019/2020,LM-52,Relazioni internazionali,F,4620
1066,2019/2020,LM-52,Relazioni internazionali,M,2883
1067,2019/2020,LM-53,Scienza e ingegneria dei materiali,F,601
1068,2019/2020,LM-53,Scienza e ingegneria dei materiali,M,1314
1069,2019/2020,LM-54,Scienze chimiche,F,1604
1070,2019/2020,LM-54,Scienze chimiche,M,1624
1071,2019/2020,LM-55,Scienze cognitive,F,235
1072,2019/2020,LM-55,Scienze cognitive,M,117
1073,2019/2020,LM-56,Scienze dell'economia,F,6696
1074,2019/2020,LM-56,Scienze dell'economia,M,8559
1075,2019/2020,LM-57,Scienze dell'educazione degli adulti e della formazione continua,F,1336
1076,2019/2020,LM-57,Scienze dell'educazione degli adulti e della formazione continua,M,209
1077,2019/2020,LM-58,Scienze dell'universo,F,131
1078,2019/2020,LM-58,Scienze dell'universo,M,201
1079,2019/2020,LM-59,"Scienze della comunicazione pubblica, d'impresa e pubblicit",F,3814
1080,2019/2020,LM-59,"Scienze della comunicazione pubblica, d'impresa e pubblicit",M,1634
1081,2019/2020,LM-60,Scienze della natura,F,521
1082,2019/2020,LM-60,Scienze della natura,M,385
1083,2019/2020,LM-61,Scienze della nutrizione umana,F,3319
1084,2019/2020,LM-61,Scienze della nutrizione umana,M,1495
1085,2019/2020,LM-62,Scienze della politica,F,1601
1086,2019/2020,LM-62,Scienze della politica,M,1604
1087,2019/2020,LM-63,Scienze delle pubbliche amministrazioni,F,2372
1088,2019/2020,LM-63,Scienze delle pubbliche amministrazioni,M,1832
1089,2019/2020,LM-64,Scienze delle religioni,F,80
1090,2019/2020,LM-64,Scienze delle religioni,M,77
1091,2019/2020,LM-65,Scienze dello spettacolo e produzione multimediale,F,1845
1092,2019/2020,LM-65,Scienze dello spettacolo e produzione multimediale,M,969
1093,2019/2020,LM-66,Sicurezza informatica,F,60
1094,2019/2020,LM-66,Sicurezza informatica,M,361
1095,2019/2020,LM-67,Scienze e tecniche delle attivit motorie preventive e adattate,F,2730
1096,2019/2020,LM-67,Scienze e tecniche delle attivit motorie preventive e adattate,M,3964
1097,2019/2020,LM-68,Scienze e tecniche dello sport,F,595
1098,2019/2020,LM-68,Scienze e tecniche dello sport,M,1894
1099,2019/2020,LM-69,Scienze e tecnologie agrarie,F,999
1100,2019/2020,LM-69,Scienze e tecnologie agrarie,M,2315
1101,2019/2020,LM-70,Scienze e tecnologie alimentari,F,1686
1102,2019/2020,LM-70,Scienze e tecnologie alimentari,M,1237
1103,2019/2020,LM-71,Scienze e tecnologie della chimica industriale,F,387
1104,2019/2020,LM-71,Scienze e tecnologie della chimica industriale,M,546
1105,2019/2020,LM-72,Scienze e tecnologie della navigazione,F,36
1106,2019/2020,LM-72,Scienze e tecnologie della navigazione,M,75
1107,2019/2020,LM-73,Scienze e tecnologie forestali ed ambientali,F,375
1108,2019/2020,LM-73,Scienze e tecnologie forestali ed ambientali,M,582
1109,2019/2020,LM-74,Scienze e tecnologie geologiche,F,702
1110,2019/2020,LM-74,Scienze e tecnologie geologiche,M,1195
1111,2019/2020,LM-75,Scienze e tecnologie per l'ambiente e il territorio,F,720
1112,2019/2020,LM-75,Scienze e tecnologie per l'ambiente e il territorio,M,643
1113,2019/2020,LM-76,Scienze economiche per l'ambiente e la cultura,F,1047
1114,2019/2020,LM-76,Scienze economiche per l'ambiente e la cultura,M,352
1115,2019/2020,LM-77,Scienze economico-aziendali,F,21125
1116,2019/2020,LM-77,Scienze economico-aziendali,M,21281
1117,2019/2020,LM-78,Scienze filosofiche,F,2403
1118,2019/2020,LM-78,Scienze filosofiche,M,2711
1119,2019/2020,LM-79,Scienze geofisiche,F,61
1120,2019/2020,LM-79,Scienze geofisiche,M,85
1121,2019/2020,LM-80,Scienze geografiche,F,180
1122,2019/2020,LM-80,Scienze geografiche,M,153
1123,2019/2020,LM-81,Scienze per la cooperazione allo sviluppo,F,1238
1124,2019/2020,LM-81,Scienze per la cooperazione allo sviluppo,M,515
1125,2019/2020,LM-82,Scienze statistiche,F,750
1126,2019/2020,LM-82,Scienze statistiche,M,923
1127,2019/2020,LM-83,Scienze statistiche attuariali e finanziarie,F,366
1128,2019/2020,LM-83,Scienze statistiche attuariali e finanziarie,M,577
1129,2019/2020,LM-84,Scienze storiche,F,1652
1130,2019/2020,LM-84,Scienze storiche,M,2640
1131,2019/2020,LM-85,Scienze pedagogiche,F,11551
1132,2019/2020,LM-85,Scienze pedagogiche,M,1019
1133,2019/2020,LM-85 bis,Scienze della formazione primaria,F,30183
1134,2019/2020,LM-85 bis,Scienze della formazione primaria,M,1838
1135,2019/2020,LM-86,Scienze zootecniche e tecnologie  animali,F,516
1136,2019/2020,LM-86,Scienze zootecniche e tecnologie  animali,M,279
1137,2019/2020,LM-87,Servizio sociale e politiche sociali,F,4395
1138,2019/2020,LM-87,Servizio sociale e politiche sociali,M,422
1139,2019/2020,LM-88,Sociologia e ricerca sociale,F,1925
1140,2019/2020,LM-88,Sociologia e ricerca sociale,M,777
1141,2019/2020,LM-89,Storia dell'arte,F,4194
1142,2019/2020,LM-89,Storia dell'arte,M,992
1143,2019/2020,LM-90,Studi europei,F,469
1144,2019/2020,LM-90,Studi europei,M,368
1145,2019/2020,LM-91,Tecniche e metodi per la societa dell'informazione,F,267
1146,2019/2020,LM-91,Tecniche e metodi per la societa dell'informazione,M,682
1147,2019/2020,LM-92,Teorie della comunicazione,F,1516
1148,2019/2020,LM-92,Teorie della comunicazione,M,702
1149,2019/2020,LM-93,Teorie e metodologie dell'e-learning e della media education,F,50
1150,2019/2020,LM-93,Teorie e metodologie dell'e-learning e della media education,M,10
1151,2019/2020,LM-94,Traduzione specialistica e interpretariato,F,2212
1152,2019/2020,LM-94,Traduzione specialistica e interpretariato,M,403
1153,2019/2020,LMG/01,Magistrali in giurisprudenza,F,71998
1154,2019/2020,LMG/01,Magistrali in giurisprudenza,M,43461
1155,2019/2020,LMR/02,Conservazione e restauro dei beni culturali,F,464
1156,2019/2020,LMR/02,Conservazione e restauro dei beni culturali,M,72
1157,2019/2020,SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",F,185
1158,2019/2020,SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",M,92
1159,2019/2020,SNT1/S,Specialistiche nelle scienze infermieristiche e ostetriche,F,6
1160,2019/2020,SNT1/S,Specialistiche nelle scienze infermieristiche e ostetriche,M,1
1161,2019/2020,SNT2,Professioni sanitarie della riabilitazione,F,58
1162,2019/2020,SNT2,Professioni sanitarie della riabilitazione,M,39
1163,2019/2020,SNT2/S,Specialistiche nelle scienze delle professioni sanitarie della riabilitazione,F,1
1164,2019/2020,SNT3,Professioni sanitarie tecniche,F,42
1165,2019/2020,SNT3,Professioni sanitarie tecniche,M,27
1166,2019/2020,SNT3/S,Specialistiche nelle scienze delle professioni sanitarie tecniche,F,2
1167,2019/2020,SNT3/S,Specialistiche nelle scienze delle professioni sanitarie tecniche,M,1
1168,2019/2020,SNT4,Professioni sanitarie della prevenzione,F,6
1169,2019/2020,SNT4,Professioni sanitarie della prevenzione,M,11
1170,2019/2020,SNT4/S,Specialistiche nelle scienze delle professioni sanitarie della prevenzione,M,2
1171,2018/2019,1,Biotecnologie,F,130
1172,2018/2019,1,Biotecnologie,M,58
1173,2018/2019,01/S,Specialistiche in antropologia culturale ed etnologia,F,12
1174,2018/2019,01/S,Specialistiche in antropologia culturale ed etnologia,M,5
1175,2018/2019,2,Scienze dei servizi giuridici,F,183
1176,2018/2019,2,Scienze dei servizi giuridici,M,177
1177,2018/2019,02/S,Specialistiche in archeologia,F,13
1178,2018/2019,02/S,Specialistiche in archeologia,M,4
1179,2018/2019,3,Scienze della mediazione linguistica,F,275
1180,2018/2019,3,Scienze della mediazione linguistica,M,50
1181,2018/2019,03/S,Specialistiche in architettura del paesaggio,F,4
1182,2018/2019,03/S,Specialistiche in architettura del paesaggio,M,3
1183,2018/2019,4,Scienze dell'architettura e dell'ingegneria edile,F,285
1184,2018/2019,4,Scienze dell'architettura e dell'ingegneria edile,M,334
1185,2018/2019,04/S,Specialistiche in architettura e ingegneria edile,F,29
1186,2018/2019,04/S,Specialistiche in architettura e ingegneria edile,M,43
1187,2018/2019,04/S-cu,Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico,F,907
1188,2018/2019,04/S-cu,Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico,M,821
1189,2018/2019,5,Lettere,F,669
1190,2018/2019,5,Lettere,M,166
1191,2018/2019,05/S,Specialistiche in archivistica e biblioteconomia,F,11
1192,2018/2019,05/S,Specialistiche in archivistica e biblioteconomia,M,1
1193,2018/2019,6,Scienze del servizio sociale,F,241
1194,2018/2019,6,Scienze del servizio sociale,M,22
1195,2018/2019,06/S,Specialistiche in biologia,F,23
1196,2018/2019,06/S,Specialistiche in biologia,M,9
1197,2018/2019,7,Urbanistica e scienze della pianificazione territoriale e ambientale,F,14
1198,2018/2019,7,Urbanistica e scienze della pianificazione territoriale e ambientale,M,46
1199,2018/2019,8,Ingegneria civile e ambientale,F,234
1200,2018/2019,8,Ingegneria civile e ambientale,M,585
1201,2018/2019,08/S,Specialistiche in biotecnologie industriali,F,2
1202,2018/2019,9,Ingegneria dell'informazione,F,192
1203,2018/2019,9,Ingegneria dell'informazione,M,1085
1204,2018/2019,09/S,"Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche",F,6
1205,2018/2019,09/S,"Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche",M,1
1206,2018/2019,10,Ingegneria industriale,F,246
1207,2018/2019,10,Ingegneria industriale,M,1244
1208,2018/2019,10/S,Specialistiche in conservazione dei beni architettonici e ambientali,F,1
1209,2018/2019,100/S,Specialistiche in tecniche e metodi per la societa dell'informazione,F,1
1210,2018/2019,100/S,Specialistiche in tecniche e metodi per la societa dell'informazione,M,3
1211,2018/2019,101/S,Specialistiche in teoria della comunicazione,F,9
1212,2018/2019,101/S,Specialistiche in teoria della comunicazione,M,5
1213,2018/2019,102/S,Specialistiche in teoria e tecniche della normazione e dell'informazione giuridica,M,1
1214,2018/2019,103/S,Specialistiche in teorie e metodi del disegno industriale,F,7
1215,2018/2019,103/S,Specialistiche in teorie e metodi del disegno industriale,M,10
1216,2018/2019,104/S,Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica,F,15
1217,2018/2019,104/S,Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica,M,1
1218,2018/2019,11,Lingue e culture moderne,F,706
1219,2018/2019,11,Lingue e culture moderne,M,148
1220,2018/2019,12,Scienze biologiche,F,636
1221,2018/2019,12,Scienze biologiche,M,168
1222,2018/2019,12/S,Specialistiche in conservazione e restauro del patrimonio storico-artistico,F,1
1223,2018/2019,13,Scienze dei beni culturali,F,594
1224,2018/2019,13,Scienze dei beni culturali,M,151
1225,2018/2019,13/S,"Specialistiche in editoria, comunicazione multimediale e giornalismo",F,12
1226,2018/2019,13/S,"Specialistiche in editoria, comunicazione multimediale e giornalismo",M,9
1227,2018/2019,14,Scienze della comunicazione,F,386
1228,2018/2019,14,Scienze della comunicazione,M,206
1229,2018/2019,14/S,Specialistiche in farmacia e farmacia industriale,F,2199
1230,2018/2019,14/S,Specialistiche in farmacia e farmacia industriale,M,802
1231,2018/2019,15,Scienze politiche e delle relazioni internazionali,F,312
1232,2018/2019,15,Scienze politiche e delle relazioni internazionali,M,349
1233,2018/2019,15/S,Specialistiche in filologia e letterature dell'antichita,F,11
1234,2018/2019,15/S,Specialistiche in filologia e letterature dell'antichita,M,3
1235,2018/2019,16,Scienze della Terra,F,23
1236,2018/2019,16,Scienze della Terra,M,47
1237,2018/2019,16/S,Specialistiche in filologia moderna,F,46
1238,2018/2019,16/S,Specialistiche in filologia moderna,M,8
1239,2018/2019,17,Scienze dell'economia e della gestione aziendale,F,1218
1240,2018/2019,17,Scienze dell'economia e della gestione aziendale,M,1152
1241,2018/2019,17/S,Specialistiche in filosofia e storia della scienza,F,1
1242,2018/2019,17/S,Specialistiche in filosofia e storia della scienza,M,1
1243,2018/2019,18,Scienze dell'educazione e della formazione,F,1020
1244,2018/2019,18,Scienze dell'educazione e della formazione,M,110
1245,2018/2019,18/S,"Specialistiche in filosofia teoretica, morale, politica ed estetica",F,12
1246,2018/2019,18/S,"Specialistiche in filosofia teoretica, morale, politica ed estetica",M,13
1247,2018/2019,18-bis,Scienze della Formazione Primaria - Quadriennale,F,1353
1248,2018/2019,18-bis,Scienze della Formazione Primaria - Quadriennale,M,69
1249,2018/2019,19,Scienze dell'amministrazione,F,168
1250,2018/2019,19,Scienze dell'amministrazione,M,163
1251,2018/2019,19/S,Specialistiche in finanza,F,5
1252,2018/2019,19/S,Specialistiche in finanza,M,5
1253,2018/2019,20,"Scienze e tecnologie agrarie, agroalimentari e forestali",F,163
1254,2018/2019,20,"Scienze e tecnologie agrarie, agroalimentari e forestali",M,266
1255,2018/2019,20/S,Specialistiche in fisica,F,8
1256,2018/2019,20/S,Specialistiche in fisica,M,17
1257,2018/2019,21,Scienze e tecnologie chimiche,F,102
1258,2018/2019,21,Scienze e tecnologie chimiche,M,97
1259,2018/2019,21/S,Specialistiche in geografia,F,3
1260,2018/2019,21/S,Specialistiche in geografia,M,2
1261,2018/2019,22,Scienze e tecnologie della navigazione marittima e aerea,F,3
1262,2018/2019,22,Scienze e tecnologie della navigazione marittima e aerea,M,10
1263,2018/2019,22/S,Specialistiche in giurisprudenza,F,111
1264,2018/2019,22/S,Specialistiche in giurisprudenza,M,60
1265,2018/2019,23,"Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda",F,130
1266,2018/2019,23,"Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda",M,70
1267,2018/2019,23/S,Specialistiche in informatica,F,16
1268,2018/2019,23/S,Specialistiche in informatica,M,43
1269,2018/2019,24,Scienze e tecnologie farmaceutiche,F,271
1270,2018/2019,24,Scienze e tecnologie farmaceutiche,M,68
1271,2018/2019,24/S,Specialistiche in informatica per le discipline umanistiche,F,1
1272,2018/2019,24/S,Specialistiche in informatica per le discipline umanistiche,M,1
1273,2018/2019,25,Scienze e tecnologie fisiche,F,62
1274,2018/2019,25,Scienze e tecnologie fisiche,M,129
1275,2018/2019,25/S,Specialistiche in ingegneria aerospaziale e astronautica,F,4
1276,2018/2019,25/S,Specialistiche in ingegneria aerospaziale e astronautica,M,20
1277,2018/2019,26,Scienze e tecnologie informatiche,F,87
1278,2018/2019,26,Scienze e tecnologie informatiche,M,537
1279,2018/2019,26/S,Specialistiche in ingegneria biomedica,F,9
1280,2018/2019,26/S,Specialistiche in ingegneria biomedica,M,6
1281,2018/2019,27,Scienze e tecnologie per l'ambiente e la natura,F,93
1282,2018/2019,27,Scienze e tecnologie per l'ambiente e la natura,M,83
1283,2018/2019,27/S,Specialistiche in ingegneria chimica,F,6
1284,2018/2019,27/S,Specialistiche in ingegneria chimica,M,2
1285,2018/2019,28,Scienze economiche,F,410
1286,2018/2019,28,Scienze economiche,M,338
1287,2018/2019,28/S,Specialistiche in ingegneria civile,F,12
1288,2018/2019,28/S,Specialistiche in ingegneria civile,M,39
1289,2018/2019,29,Filosofia,F,158
1290,2018/2019,29,Filosofia,M,133
1291,2018/2019,29/S,Specialistiche in ingegneria dell'automazione,F,3
1292,2018/2019,29/S,Specialistiche in ingegneria dell'automazione,M,9
1293,2018/2019,30,Scienze geografiche,F,17
1294,2018/2019,30,Scienze geografiche,M,12
1295,2018/2019,30/S,Specialistiche in ingegneria delle telecomunicazioni,F,3
1296,2018/2019,30/S,Specialistiche in ingegneria delle telecomunicazioni,M,20
1297,2018/2019,31,Scienze giuridiche,F,455
1298,2018/2019,31,Scienze giuridiche,M,264
1299,2018/2019,31/S,Specialistiche in ingegneria elettrica,F,1
1300,2018/2019,31/S,Specialistiche in ingegneria elettrica,M,8
1301,2018/2019,31-bis,Scienze giuridiche - Quinquennale,F,79
1302,2018/2019,31-bis,Scienze giuridiche - Quinquennale,M,30
1303,2018/2019,32,Scienze matematiche,F,117
1304,2018/2019,32,Scienze matematiche,M,83
1305,2018/2019,32/S,Specialistiche in ingegneria elettronica,F,6
1306,2018/2019,32/S,Specialistiche in ingegneria elettronica,M,34
1307,2018/2019,33,Scienze delle attivita motorie e sportive,F,132
1308,2018/2019,33,Scienze delle attivita motorie e sportive,M,265
1309,2018/2019,33/S,Specialistiche in ingegneria energetica e nucleare,F,7
1310,2018/2019,33/S,Specialistiche in ingegneria energetica e nucleare,M,10
1311,2018/2019,34,Scienze e tecniche psicologiche,F,632
1312,2018/2019,34,Scienze e tecniche psicologiche,M,183
1313,2018/2019,34/S,Specialistiche in ingegneria gestionale,F,15
1314,2018/2019,34/S,Specialistiche in ingegneria gestionale,M,30
1315,2018/2019,35,"Scienze sociali per la cooperazione, lo sviluppo e la pace",F,40
1316,2018/2019,35,"Scienze sociali per la cooperazione, lo sviluppo e la pace",M,20
1317,2018/2019,35/S,Specialistiche in ingegneria informatica,F,12
1318,2018/2019,35/S,Specialistiche in ingegneria informatica,M,75
1319,2018/2019,36,Scienze sociologiche,F,142
1320,2018/2019,36,Scienze sociologiche,M,66
1321,2018/2019,36/S,Specialistiche in ingegneria meccanica,F,4
1322,2018/2019,36/S,Specialistiche in ingegneria meccanica,M,58
1323,2018/2019,37,Scienze statistiche,F,18
1324,2018/2019,37,Scienze statistiche,M,22
1325,2018/2019,37/S,Specialistiche in ingegneria navale,M,3
1326,2018/2019,38,Scienze storiche,F,83
1327,2018/2019,38,Scienze storiche,M,128
1328,2018/2019,38/S,Specialistiche in ingegneria per l'ambiente e il territorio,F,15
1329,2018/2019,38/S,Specialistiche in ingegneria per l'ambiente e il territorio,M,24
1330,2018/2019,39,Scienze del turismo,F,134
1331,2018/2019,39,Scienze del turismo,M,22
1332,2018/2019,39/S,Specialistiche in interpretariato di conferenza,F,2
1333,2018/2019,39/S,Specialistiche in interpretariato di conferenza,M,1
1334,2018/2019,40,Scienze e tecnologie zootecniche e delle produzioni animali,F,70
1335,2018/2019,40,Scienze e tecnologie zootecniche e delle produzioni animali,M,26
1336,2018/2019,40/S,Specialistiche in lingua e cultura italiana,F,6
1337,2018/2019,40/S,Specialistiche in lingua e cultura italiana,M,4
1338,2018/2019,41,Tecnologie per la conservazione e il restauro dei beni culturali,F,18
1339,2018/2019,41,Tecnologie per la conservazione e il restauro dei beni culturali,M,4
1340,2018/2019,41/S,Specialistiche in lingue e letterature afroasiatiche,F,2
1341,2018/2019,41/S,Specialistiche in lingue e letterature afroasiatiche,M,2
1342,2018/2019,42,Disegno industriale,F,27
1343,2018/2019,42,Disegno industriale,M,43
1344,2018/2019,42/S,Specialistiche in lingue e letterature moderne euroamericane,F,33
1345,2018/2019,42/S,Specialistiche in lingue e letterature moderne euroamericane,M,6
1346,2018/2019,43/S,Specialistiche in lingue straniere per la comunicazione internazionale,F,31
1347,2018/2019,43/S,Specialistiche in lingue straniere per la comunicazione internazionale,M,3
1348,2018/2019,44/S,Specialistiche in linguistica,F,9
1349,2018/2019,44/S,Specialistiche in linguistica,M,3
1350,2018/2019,45/S,Specialistiche in matematica,F,17
1351,2018/2019,45/S,Specialistiche in matematica,M,6
1352,2018/2019,46/S,Specialistiche in medicina e chirurgia,F,2113
1353,2018/2019,46/S,Specialistiche in medicina e chirurgia,M,1408
1354,2018/2019,47/S,Specialistiche in medicina veterinaria,F,447
1355,2018/2019,47/S,Specialistiche in medicina veterinaria,M,174
1356,2018/2019,50/S,Specialistiche in modellistica matematico-fisica per l'ingegneria,F,1
1357,2018/2019,51/S,Specialistiche in musicologia e beni musicali,F,3
1358,2018/2019,51/S,Specialistiche in musicologia e beni musicali,M,3
1359,2018/2019,52/S,Specialistiche in odontoiatria e protesi dentaria,F,42
1360,2018/2019,52/S,Specialistiche in odontoiatria e protesi dentaria,M,94
1361,2018/2019,53/S,Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie,F,5
1362,2018/2019,53/S,Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie,M,1
1363,2018/2019,54/S,Specialistiche in pianificazione territoriale urbanistica e ambientale,F,2
1364,2018/2019,54/S,Specialistiche in pianificazione territoriale urbanistica e ambientale,M,3
1365,2018/2019,55/S,Specialistiche in progettazione e gestione dei sistemi turistici,F,1
1366,2018/2019,55/S,Specialistiche in progettazione e gestione dei sistemi turistici,M,2
1367,2018/2019,56/S,Specialistiche in programmazione e gestione dei servizi educativi e formativi,F,11
1368,2018/2019,57/S,Specialistiche in programmazione e gestione delle politiche e dei servizi sociali,F,55
1369,2018/2019,57/S,Specialistiche in programmazione e gestione delle politiche e dei servizi sociali,M,6
1370,2018/2019,58/S,Specialistiche in psicologia,F,110
1371,2018/2019,58/S,Specialistiche in psicologia,M,21
1372,2018/2019,59/S,Specialistiche in pubblicita e comunicazione d'impresa,F,5
1373,2018/2019,59/S,Specialistiche in pubblicita e comunicazione d'impresa,M,2
1374,2018/2019,60/S,Specialistiche in relazioni internazionali,F,20
1375,2018/2019,60/S,Specialistiche in relazioni internazionali,M,17
1376,2018/2019,61/S,Specialistiche in scienza e ingegneria dei materiali,M,5
1377,2018/2019,62/S,Specialistiche in scienze chimiche,F,5
1378,2018/2019,62/S,Specialistiche in scienze chimiche,M,4
1379,2018/2019,64/S,Specialistiche in scienze dell'economia,F,23
1380,2018/2019,64/S,Specialistiche in scienze dell'economia,M,30
1381,2018/2019,65/S,Specialistiche in scienze dell'educazione degli adulti e della formazione continua,F,13
1382,2018/2019,65/S,Specialistiche in scienze dell'educazione degli adulti e della formazione continua,M,2
1383,2018/2019,66/S,Specialistiche in scienze dell'universo,M,3
1384,2018/2019,67/S,Specialistiche in scienze della comunicazione sociale e istituzionale,F,6
1385,2018/2019,67/S,Specialistiche in scienze della comunicazione sociale e istituzionale,M,1
1386,2018/2019,68/S,Specialistiche in scienze della natura,F,5
1387,2018/2019,69/S,Specialistiche in scienze della nutrizione umana,F,3
1388,2018/2019,69/S,Specialistiche in scienze della nutrizione umana,M,2
1389,2018/2019,70/S,Specialistiche in scienze della politica,F,13
1390,2018/2019,70/S,Specialistiche in scienze della politica,M,10
1391,2018/2019,71/S,Specialistiche in scienze delle pubbliche amministrazioni,F,12
1392,2018/2019,71/S,Specialistiche in scienze delle pubbliche amministrazioni,M,18
1393,2018/2019,72/S,Specialistiche in scienze delle religioni,F,4
1394,2018/2019,72/S,Specialistiche in scienze delle religioni,M,1
1395,2018/2019,73/S,Specialistiche in scienze dello spettacolo e della produzione multimediale,F,8
1396,2018/2019,73/S,Specialistiche in scienze dello spettacolo e della produzione multimediale,M,6
1397,2018/2019,74/S,Specialistiche in scienze e gestione delle risorse rurali e forestali,M,3
1398,2018/2019,75/S,Specialistiche in scienze e tecnica dello sport,M,8
1399,2018/2019,76/S,Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative,F,8
1400,2018/2019,76/S,Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative,M,5
1401,2018/2019,77/S,Specialistiche in scienze e tecnologie agrarie,F,4
1402,2018/2019,77/S,Specialistiche in scienze e tecnologie agrarie,M,6
1403,2018/2019,78/S,Specialistiche in scienze e tecnologie agroalimentari,F,4
1404,2018/2019,78/S,Specialistiche in scienze e tecnologie agroalimentari,M,2
1405,2018/2019,79/S,Specialistiche in scienze e tecnologie agrozootecniche,F,3
1406,2018/2019,81/S,Specialistiche in scienze e tecnologie della chimica industriale,M,3
1407,2018/2019,82/S,Specialistiche in scienze e tecnologie per l'ambiente e il territorio,M,1
1408,2018/2019,83/S,Specialistiche in scienze economiche per l'ambiente e la cultura,F,3
1409,2018/2019,83/S,Specialistiche in scienze economiche per l'ambiente e la cultura,M,2
