Settore;ISCRITTI FUORISEDE 2010/2011
Agrario-Forestale e Veterinario;41803
Architettura e Ingegneria civile;138678
Arte e Design;65960
Economico;253042
Educazione e Formazione;94668
Giuridico;214597
Informatica e Tecnologie ICT;25822
Ingegneria industriale e dell'informazione;161432
Letterario-Umanistico;89025
Linguistico;97324
Medico-Sanitario e Farmaceutico;236498
Politico-Sociale e Comunicazione;157486
Psicologico;69678
Scientifico;144128
Scienze motorie e sportive;27394
